trial_type,workspace,trial_name,agent_name,model,milestone_id,milestone_order,grading_status
e2e,dubbo,_claude-code_glm-5.2_run_002,claude-code,glm-5.2,M011,8,graded
e2e,dubbo,_claude-code_glm-5.2_run_002,claude-code,glm-5.2,M016.1,9,graded
e2e,dubbo,_claude-code_glm-5.2_run_002,claude-code,glm-5.2,M017,10,graded
e2e,dubbo,_claude-code_glm-5.2_run_002,claude-code,glm-5.2,M018,11,graded
e2e,dubbo,_claude-code_glm-5.2_run_002,claude-code,glm-5.2,M019,12,graded
e2e,dubbo,_claude-code_glm-5.2_run_002,claude-code,glm-5.2,M025,13,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M003.1,1,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M003.2,2,non_graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M004,3,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M003.3,4,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M001.1,5,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M006,6,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M001.2,7,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M011,8,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M016.1,9,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M017,10,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M018,11,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M019,12,graded
e2e,dubbo,_claude-code_glm-5.3_run_003,claude-code,glm-5.3,M025,13,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M003.1,1,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M004,2,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M006,3,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M011,4,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M016.1,5,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M017,6,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M019,7,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M001.1,8,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M003.2,9,non_graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M001.2,10,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M018,11,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M025,12,graded
e2e,dubbo,_claude-code_glm-5_refine_run_002,claude-code,glm-5,M003.3,13,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M017,1,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M019,2,graded
e2e,dubbo,_claude-code_kimi-k2.6_run_002,claude-code,kimi-k2.6,M016.1,3,graded
